YearFlight,MonthFlight,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
2011,1,18,2,2116.0,2238.0,XE,2451,N14904,82.0,62.0,-5.0,1.0,IAH,OKC,395,5.0,15.0,0,,0
2011,1,18,2,902.0,,XE,2453,N13903,,,,-8.0,IAH,BRO,308,,11.0,0,,1
2011,1,18,2,925.0,1030.0,XE,2455,N12934,65.0,37.0,-5.0,0.0,IAH,SHV,192,5.0,23.0,0,,0
2011,1,18,2,1636.0,1805.0,XE,2465,N13538,89.0,67.0,-9.0,-9.0,IAH,MAF,429,6.0,16.0,0,,0
2011,1,18,2,753.0,851.0,XE,2469,N14930,58.0,40.0,-5.0,-2.0,IAH,CRP,201,5.0,13.0,0,,0
2011,1,18,2,749.0,1034.0,XE,2470,N31131,165.0,146.0,-6.0,-1.0,IAH,MSP,1034,3.0,16.0,0,,0
2011,1,18,2,1407.0,1718.0,XE,2472,N14203,131.0,101.0,35.0,22.0,IAH,JAX,817,7.0,23.0,0,,0
2011,1,18,2,1534.0,1740.0,XE,2474,N17115,126.0,93.0,16.0,-1.0,IAH,BNA,657,9.0,24.0,0,,0
2011,1,18,2,1410.0,1627.0,XE,2479,N13956,137.0,121.0,3.0,-5.0,IAH,DSM,802,3.0,13.0,0,,0
2011,1,18,2,1926.0,2027.0,XE,2481,N15986,61.0,42.0,-6.0,-4.0,IAH,CRP,201,5.0,14.0,0,,0
2011,1,18,2,1633.0,1956.0,XE,2488,N14179,143.0,111.0,2.0,-3.0,IAH,CLT,913,8.0,24.0,0,,0
2011,1,18,2,1549.0,1916.0,XE,2492,N14558,147.0,124.0,-3.0,-1.0,IAH,RDU,1043,6.0,17.0,0,,0
2011,1,18,2,2107.0,2246.0,XE,2493,N15983,99.0,81.0,-6.0,-5.0,IAH,ICT,542,7.0,11.0,0,,0
2011,1,18,2,1706.0,2016.0,XE,2496,N17138,130.0,107.0,36.0,31.0,IAH,SDF,788,5.0,18.0,0,,0
2011,1,18,2,1529.0,1713.0,XE,2497,N12900,104.0,89.0,0.0,-1.0,IAH,ICT,542,3.0,12.0,0,,0
2011,1,18,2,1312.0,1431.0,XE,2499,N13132,139.0,122.0,3.0,-3.0,IAH,ABQ,744,4.0,13.0,0,,0
2011,1,18,2,1849.0,2107.0,XE,2511,N19554,138.0,123.0,8.0,-1.0,IAH,DSM,802,6.0,9.0,0,,0
2011,1,18,2,2119.0,2224.0,XE,2515,N14947,65.0,48.0,-6.0,-1.0,IAH,HRL,295,5.0,12.0,0,,0
2011,1,18,2,1007.0,1215.0,XE,2522,N21130,188.0,174.0,25.0,-3.0,IAH,MTJ,926,4.0,10.0,0,,0
2011,1,18,2,726.0,828.0,XE,2525,N15948,62.0,49.0,-22.0,-9.0,IAH,GPT,376,4.0,9.0,0,,0
2011,1,18,2,2114.0,2251.0,XE,2531,N18114,157.0,133.0,16.0,24.0,IAH,TUS,936,4.0,20.0,0,,0
2011,1,18,2,858.0,1034.0,XE,2541,N17115,156.0,140.0,-9.0,-2.0,IAH,TUS,936,3.0,13.0,0,,0
2011,1,18,2,1418.0,1738.0,XE,2550,N16918,140.0,109.0,3.0,-2.0,IAH,CLT,913,5.0,26.0,0,,0
2011,1,18,2,1013.0,1059.0,XE,2559,N15926,46.0,32.0,31.0,43.0,IAH,LFT,201,4.0,10.0,0,,0
2011,1,18,2,1731.0,1830.0,XE,2562,N14993,59.0,41.0,-1.0,1.0,IAH,DAL,217,5.0,13.0,0,,0
2011,1,18,2,1450.0,1630.0,XE,2569,N15980,100.0,68.0,11.0,0.0,IAH,MAF,429,4.0,28.0,0,,0
2011,1,18,2,1921.0,2025.0,XE,2570,N14938,64.0,42.0,-3.0,-4.0,IAH,BTR,253,5.0,17.0,0,,0
2011,1,18,2,726.0,919.0,XE,2573,N12157,113.0,84.0,8.0,6.0,IAH,BNA,657,6.0,23.0,0,,0
2011,1,18,2,1420.0,1540.0,XE,2581,N14933,80.0,48.0,19.0,0.0,IAH,CRP,201,3.0,29.0,0,,0
2011,1,18,2,718.0,1016.0,XE,2586,N14203,118.0,103.0,-17.0,-2.0,IAH,IND,845,5.0,10.0,0,,0
2011,1,18,2,1433.0,1536.0,XE,2591,N14945,63.0,41.0,7.0,3.0,IAH,DAL,217,5.0,17.0,0,,0
2011,1,18,2,1254.0,1502.0,XE,2593,N11194,128.0,113.0,-2.0,-1.0,IAH,OMA,781,6.0,9.0,0,,0
2011,1,18,2,1700.0,1829.0,XE,2594,N11184,89.0,67.0,6.0,0.0,IAH,OKC,395,5.0,17.0,0,,0
2011,1,18,2,1746.0,1954.0,XE,2598,N14942,128.0,106.0,11.0,1.0,IAH,MCI,643,7.0,15.0,0,,0
2011,1,18,2,1350.0,1648.0,XE,2599,N11119,178.0,147.0,17.0,0.0,IAH,MSP,1034,8.0,23.0,0,,0
2011,1,18,2,859.0,959.0,XE,2605,N15932,60.0,41.0,-2.0,-1.0,IAH,DAL,217,4.0,15.0,0,,0
