YearFlight,MonthFlight,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
2011,1,8,6,919.0,1221.0,CO,1873,N17719,122.0,96.0,-2.0,9.0,IAH,MCO,853,9.0,17.0,0,,0
2011,1,8,6,1134.0,1316.0,CO,1882,N27239,162.0,142.0,-8.0,4.0,IAH,HDN,986,6.0,14.0,0,,0
2011,1,8,6,1756.0,1959.0,CO,1889,N33264,243.0,222.0,3.0,16.0,IAH,SMF,1609,5.0,16.0,0,,0
2011,1,7,5,930.0,1355.0,CO,1,N76064,505.0,475.0,5.0,5.0,IAH,HNL,3904,7.0,23.0,0,,0
2011,1,7,5,1825.0,1932.0,CO,5,N12225,67.0,41.0,-2.0,0.0,IAH,MSY,305,6.0,20.0,0,,0
2011,1,7,5,1554.0,1700.0,CO,6,N14604,66.0,41.0,5.0,-1.0,IAH,SAT,191,5.0,20.0,0,,0
2011,1,7,5,1527.0,1640.0,CO,33,N17719,73.0,51.0,6.0,2.0,IAH,MSY,305,6.0,16.0,0,,0
2011,1,7,5,1533.0,1628.0,CO,35,N54241,55.0,33.0,0.0,-2.0,IAH,AUS,140,7.0,15.0,0,,0
2011,1,7,5,1946.0,2123.0,CO,47,N77518,217.0,192.0,22.0,36.0,IAH,LAX,1379,12.0,13.0,0,,0
2011,1,7,5,749.0,911.0,CO,52,N14118,202.0,185.0,-15.0,4.0,IAH,LAX,1379,6.0,11.0,0,,0
2011,1,7,5,1738.0,1912.0,CO,59,N38424,154.0,133.0,0.0,3.0,IAH,DEN,862,8.0,13.0,0,,0
2011,1,7,5,1239.0,1655.0,CO,60,N29129,196.0,177.0,22.0,34.0,IAH,EWR,1400,8.0,11.0,0,,0
2011,1,7,5,1440.0,1916.0,CO,62,N21108,216.0,175.0,19.0,15.0,IAH,EWR,1400,13.0,28.0,0,,0
2011,1,7,5,1204.0,1619.0,CO,73,N76065,495.0,471.0,9.0,19.0,IAH,HNL,3904,6.0,18.0,0,,0
2011,1,7,5,601.0,1045.0,CO,89,N75851,224.0,200.0,25.0,1.0,IAH,EWR,1400,11.0,13.0,0,,0
2011,1,7,5,1046.0,1521.0,CO,106,N76062,215.0,189.0,6.0,1.0,IAH,EWR,1400,10.0,16.0,0,,0
2011,1,7,5,1453.0,1634.0,CO,137,N73278,221.0,196.0,19.0,25.0,IAH,LAX,1379,8.0,17.0,0,,0
2011,1,7,5,1307.0,1600.0,CO,146,N57869,173.0,140.0,17.0,2.0,IAH,ORD,925,10.0,23.0,0,,0
2011,1,7,5,2102.0,2208.0,CO,150,N38257,186.0,171.0,-29.0,5.0,IAH,ONT,1334,5.0,10.0,0,,0
2011,1,7,5,1443.0,1825.0,CO,158,N24702,162.0,141.0,-10.0,-2.0,IAH,DCA,1208,4.0,17.0,0,,0
2011,1,7,5,900.0,1120.0,CO,170,N32404,260.0,238.0,1.0,10.0,IAH,SFO,1635,7.0,15.0,0,,0
2011,1,7,5,1920.0,2230.0,CO,190,N76265,130.0,107.0,-13.0,0.0,IAH,MIA,964,8.0,15.0,0,,0
2011,1,7,5,1158.0,1334.0,CO,197,N73860,216.0,179.0,13.0,3.0,IAH,LAS,1222,10.0,27.0,0,,0
2011,1,7,5,727.0,907.0,CO,199,N14230,160.0,140.0,0.0,2.0,IAH,DEN,862,6.0,14.0,0,,0
