YearFlight,MonthFlight,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
2011,1,14,5,659.0,811.0,WN,881,N612SW,132.0,115.0,-4.0,-1.0,HOU,ABQ,759,9.0,8.0,0,,0
2011,1,14,5,1038.0,1137.0,WN,2413,N947WN,119.0,109.0,-18.0,-2.0,HOU,ABQ,759,3.0,7.0,0,,0
2011,1,14,5,1439.0,1531.0,WN,471,N345SA,52.0,37.0,1.0,-1.0,HOU,AUS,148,4.0,11.0,0,,0
2011,1,14,5,751.0,835.0,WN,579,N642WN,44.0,31.0,0.0,1.0,HOU,AUS,148,5.0,8.0,0,,0
2011,1,14,5,1742.0,1825.0,WN,791,N454WN,43.0,31.0,5.0,7.0,HOU,AUS,148,7.0,5.0,0,,0
2011,1,14,5,959.0,1050.0,WN,2956,N317WN,51.0,33.0,5.0,-1.0,HOU,AUS,148,3.0,15.0,0,,0
2011,1,14,5,2051.0,2136.0,WN,3665,N511SW,45.0,32.0,21.0,21.0,HOU,AUS,148,6.0,7.0,0,,0
2011,1,14,5,931.0,1056.0,WN,5,N429WN,85.0,77.0,-9.0,-4.0,HOU,BHM,570,2.0,6.0,0,,0
2011,1,14,5,2026.0,2148.0,WN,3925,N777QC,82.0,72.0,8.0,21.0,HOU,BHM,570,3.0,7.0,0,,0
2011,1,14,5,1349.0,1534.0,WN,23,N460WN,105.0,92.0,19.0,24.0,HOU,BNA,670,5.0,8.0,0,,0
2011,1,14,5,1137.0,1327.0,WN,680,N348SW,110.0,92.0,2.0,2.0,HOU,BNA,670,6.0,12.0,0,,0
2011,1,14,5,2124.0,2300.0,WN,919,N661SW,96.0,87.0,145.0,154.0,HOU,BNA,670,3.0,6.0,0,,0
2011,1,14,5,810.0,958.0,WN,3306,N278WN,108.0,95.0,3.0,0.0,HOU,BNA,670,5.0,8.0,0,,0
2011,1,14,5,1931.0,2311.0,WN,45,N256WN,160.0,149.0,21.0,31.0,HOU,BWI,1246,4.0,7.0,0,,0
2011,1,14,5,1300.0,1646.0,WN,856,N223WN,166.0,157.0,1.0,5.0,HOU,BWI,1246,3.0,6.0,0,,0
2011,1,14,5,757.0,1148.0,WN,1628,N202WN,171.0,161.0,3.0,2.0,HOU,BWI,1246,3.0,7.0,0,,0
2011,1,14,5,952.0,1041.0,WN,7,N919WN,49.0,38.0,-4.0,-3.0,HOU,CRP,187,4.0,7.0,0,,0
2011,1,14,5,2055.0,2146.0,WN,51,N731SA,51.0,38.0,31.0,30.0,HOU,CRP,187,5.0,8.0,0,,0
2011,1,14,5,1403.0,1450.0,WN,195,N611SW,47.0,37.0,-5.0,-2.0,HOU,CRP,187,4.0,6.0,0,,0
2011,1,14,5,1750.0,1842.0,WN,563,N679AA,52.0,41.0,12.0,10.0,HOU,CRP,187,5.0,6.0,0,,0
2011,1,14,5,1653.0,1744.0,WN,3056,N353SW,51.0,39.0,64.0,63.0,HOU,CRP,187,3.0,9.0,0,,0
2011,1,14,5,638.0,734.0,WN,2,N354SW,56.0,46.0,4.0,8.0,HOU,DAL,239,3.0,7.0,0,,0
2011,1,14,5,701.0,758.0,WN,4,N930WN,57.0,43.0,-2.0,1.0,HOU,DAL,239,6.0,8.0,0,,0
